file,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
pong_1.wav,-356.91373,176.98581,-13.602802,-26.742321,-11.470242,5.945597,16.459988,15.377554,-3.9574106,-8.687081,1.1218854,-0.5153078,-6.8472915
pong_1.wav,-362.4023,172.4367,-13.305329,-26.159988,-8.518081,8.815691,15.860775,7.1153464,-8.23218,-7.3908267,0.7056818,2.3144283,-4.863289
pong_1.wav,-361.36673,175.81512,-11.736723,-22.77386,-6.1762743,10.922976,10.670927,3.9194078,-3.3613293,-1.0136462,4.0116878,-1.2375213,-3.4825897
pong_1.wav,-369.45618,171.44742,-7.1107655,-11.564877,-0.4399174,10.254774,10.633052,7.3600216,-1.757875,-2.0284948,3.4705074,-3.4525306,-7.425949
pong_1.wav,-347.25888,167.48764,-3.4019208,-8.464861,-13.667045,16.022028,-4.1772594,8.224681,-3.0434763,-15.385458,9.977372,-4.146016,-4.47213
pong_1.wav,-324.52002,164.50414,-0.60656875,-2.5682316,-22.04005,17.136965,-13.377026,7.0103354,-6.477168,-15.463299,9.273766,-6.2389793,-1.8545612
pong_1.wav,-341.77545,153.19357,-2.4159145,-4.803385,-22.552109,21.473291,-3.7253137,13.218248,-3.6826544,-7.9809346,11.475992,-5.5164833,1.3642759
pong_1.wav,-350.86075,145.18045,-10.663258,-5.7616253,-25.9188,26.13087,3.8192394,14.801754,-4.17919,-13.876358,14.17449,-2.8676782,1.7874212
pong_1.wav,-351.84058,151.54883,-8.509766,-5.261716,-26.02007,21.938345,4.2599573,14.260947,3.3120537,-7.848984,15.401754,-4.4942727,-3.7908056
pong_1.wav,-365.18777,154.47247,-6.9921284,-6.978362,-18.191238,12.7736,5.3201494,14.901755,5.901601,-3.2189608,12.36784,-0.2905485,-1.725578
pong_10.wav,-431.85458,159.92163,13.690624,10.055372,4.3295374,3.5287695,3.5708077,4.29492,-0.5568794,-2.5495548,1.8439991,-0.17591059,-4.5988398
pong_10.wav,-394.23532,155.36441,6.362407,3.114605,-0.038221598,3.9103165,7.296322,8.197611,0.7135519,-7.911708,-5.5946016,-0.4337651,0.5187282
pong_10.wav,-394.78452,151.57657,3.3077426,1.6145501,0.0131864995,5.489809,7.0127087,13.057335,7.2865915,-4.955479,-5.0469775,-2.6519427,3.7549903
pong_10.wav,-401.24158,149.61365,7.0343733,8.010204,2.8323536,9.018002,10.394751,13.932333,2.8499527,-2.5349345,-4.8868203,-4.9607577,2.088575
pong_10.wav,-232.50752,118.34407,-56.983467,3.3924007,-38.09713,40.225647,4.2121224,12.929274,5.3592176,-23.61562,7.84054,-1.0344251,-3.834095
pong_10.wav,-110.48335,122.24339,-63.53226,-3.019709,-54.252197,37.59932,-2.024968,14.250441,2.3304296,-31.882996,-0.80029523,-14.768724,-9.819792
pong_10.wav,-110.17244,143.4584,-55.27145,-3.1195118,-58.77568,38.61107,-5.8977165,12.797794,0.013566732,-30.148094,1.5054,-16.818993,-10.120747
pong_10.wav,-163.04333,166.98454,-40.212887,0.3205605,-61.882343,40.414146,-22.44722,15.367027,-11.8237915,-21.818703,4.8663807,-17.167675,-5.846673
pong_10.wav,-161.40558,149.04208,-37.34591,20.860416,-56.863358,36.96855,-36.788506,18.175503,-8.787657,-18.909828,4.7513075,-17.651941,-5.8995924
pong_10.wav,-178.4944,153.11214,-44.137054,16.151245,-52.663277,29.75544,-30.617653,17.586708,-1.1737995,-18.123343,5.838486,-17.519703,0.055518925
pong_10.wav,-206.1111,167.34943,-39.238777,1.6651602,-49.547043,27.028591,-22.858433,10.983524,-1.2806557,-24.210136,5.113106,-14.074094,2.0550148
pong_10.wav,-216.3291,165.16328,-32.265327,3.59948,-44.9642,37.32988,-15.678235,16.85099,-3.5763376,-27.54506,7.478099,-10.731572,0.79489034
pong_10.wav,-227.86157,158.62593,-33.578857,9.860556,-34.992752,33.287113,-17.672344,15.191104,3.2558677,-15.207466,13.89146,-8.091602,3.1172714
pong_10.wav,-245.08618,157.41638,-38.61839,-1.4931362,-31.285954,26.726255,-15.207674,14.920393,5.980344,-8.256082,17.656055,-9.83783,-1.731146
pong_10.wav,-250.62123,153.129,-40.374172,-7.2859287,-32.027035,28.234188,-9.1725445,17.146332,3.6403413,-17.244759,11.156634,-12.527703,-4.7974563
pong_10.wav,-256.50873,157.1799,-38.777,-7.798382,-32.82631,28.416346,-9.819548,15.874087,3.695027,-22.70977,5.9045343,-15.025068,-2.7680662
pong_10.wav,-268.47372,161.4238,-39.00194,-10.303957,-34.544018,24.664703,-11.812989,7.6786456,0.3767997,-22.569149,9.431839,-6.300789,-5.2041807
pong_10.wav,-275.58228,160.18947,-44.877445,-7.5469146,-29.907951,21.768616,-7.987877,5.0657988,0.51765573,-15.478212,14.547322,-4.8521643,-4.626779
pong_10.wav,-279.66522,161.61435,-44.49463,-5.5645657,-21.129162,25.277618,-5.365188,7.112271,1.1738582,-17.859715,13.063337,-6.6979876,-7.9050617
pong_10.wav,-280.46756,166.91626,-37.81002,-7.3773384,-24.393147,25.981987,-0.00679107,11.30457,0.5993928,-20.094282,7.994212,-8.363492,-6.21465
pong_10.wav,-282.64676,172.69202,-31.022282,-8.84927,-28.553957,16.80392,-2.6103916,4.448105,-3.3420377,-20.699844,4.5630918,-3.4405224,-3.2735531
pong_10.wav,-283.29462,179.45764,-34.798798,-13.117116,-28.006016,17.135311,-2.0712705,-1.907368,-8.398172,-16.182224,8.069611,-6.714322,-6.7439437
